ID,Nama,Jurusan,Tahun Lulus,Pekerjaan Saat Ini,Perusahaan,Skills,Project,Certificates,Organisasi,combined_features
5021,Galih Saputra,Information Technology,2018,Software QA Engineer,Google Indonesia,"CI/CD, Data Structures, Microservices",Personal Portfolio Website,"Google IT Support Professional, Microsoft Certified: Azure Fundamentals",pufa_computer_science | puma_information_technology,karir di bidang software qa engineer dengan latar belakang pendidikan information technology dan aktif di pufa computer science   puma information technology
5022,Putri Ramadhan,Marketing,2023,E-commerce Analyst,Djarum,"Google Analytics, Data Visualization, Content Marketing",SEO Audit and Strategy,Meta Certified Digital Marketing Associate,pufa_business,karir di bidang e commerce analyst dengan latar belakang pendidikan marketing dan aktif di pufa business
5023,Kartika Lestari,Communication,2022,Corporate Communications Officer,Mayora,"Video Editing, Public Relations, Crisis Management",Rebranding Campaign,"Google Digital Garage, Meta Certified Professional",puma_communication,profesional communication dengan spesialisasi video editing  public relations  crisis management dan pengalaman proyek rebranding campaign
5024,Indah Anggraini,Accounting,2022,Internal Auditor,PwC,"Data Analysis for Accounting, MYOB, Financial Reporting",Annual Financial Audit,ACCA - Foundational Level,pufa_business | puma_accounting,karir di bidang internal auditor dengan latar belakang pendidikan accounting dan aktif di pufa business   puma accounting
5025,Lina Gunawan,Accounting,2021,Management Trainee Finance,Deloitte,"Audit, IFRS, Risk Management",Budget Forecasting Model,Certified Internal Auditor (CIA),pufa_business | accounting_club | pudc,karir di bidang management trainee finance dengan latar belakang pendidikan accounting dan aktif di pufa business   accounting club   pudc
5026,Siti Rahman,Electrical Engineering,2018,Power System Engineer,Pertamina,"PLC Programming, MATLAB, Microcontroller Programming",Robotic Control System,"CompTIA IoT+, MATLAB Proficiency",pufa_engineering | fpci | accounting_club,alumni jurusan electrical engineering berkarir sebagai power system engineer di pertamina  ahli dalam plc programming  matlab  microcontroller programming
5027,Kartika Rahman,Communication,2022,PR Specialist,Unilever,"Video Editing, Storytelling, Digital Marketing",Internal Communication Audit,"SEO Fundamentals, Google Digital Garage",puma_communication | pudc,seorang pr specialist lulusan communication dengan pengalaman di unilever dan sertifikasi seo fundamentals  google digital garage
5028,Eko Wibowo,Actuarial Science,2023,Investment Analyst,Ruangguru,"Statistics, Data Analysis, Risk Modeling",Time Series Forecasting,SOA Exam FM (Financial Mathematics),puma_actuarial_science | moot_court | pumun,profesional actuarial science dengan spesialisasi statistics  data analysis  risk modeling dan pengalaman proyek time series forecasting
5029,Bayu Hakim,Information Technology,2021,Data Scientist,Tokopedia,"Python, JavaScript, Data Structures",E-commerce Platform,"CompTIA A+, Google IT Support Professional",pufa_computer_science | puma_information_technology | moot_court,seorang data scientist lulusan information technology dengan pengalaman di tokopedia dan sertifikasi comptia a   google it support professional
5030,Galih Nugroho,Industrial Engineering,2017,Process Improvement Consultant,Ogilvy Indonesia,"Simulation (Arena), Lean Manufacturing, System Modeling",Supply Chain Network Design,Certified Quality Engineer (CQE),puma_industrial_engineering,alumni jurusan industrial engineering berkarir sebagai process improvement consultant di ogilvy indonesia  ahli dalam simulation  arena   lean manufacturing  system modeling
5031,Joko Wibowo,Visual Communication Design,2022,Illustrator,Telkomsel,"Visual Branding, User Research, Wireframing",Design Thinking Workshop,Typography Masterclass,pufa_social_science_and_education,seorang illustrator lulusan visual communication design dengan pengalaman di telkomsel dan sertifikasi typography masterclass
5032,Eko Utama,Visual Communication Design,2022,Art Director,Unilever,"User Research, Illustration, Typography",Corporate Identity Manual,Figma UI/UX Essentials,puma_visual_communication_design,alumni jurusan visual communication design berkarir sebagai art director di unilever  ahli dalam user research  illustration  typography
5033,Indah Saputra,Marketing,2021,SEO Specialist,Unilever,"Content Marketing, SEO/SEM, Data Visualization",Conversion Rate Optimization,Google Ads,accounting_club | pusc | aiesec,karir di bidang seo specialist dengan latar belakang pendidikan marketing dan aktif di accounting club   pusc   aiesec
5034,Indah Sari,Environmental Engineering,2016,Enviromental Planner,Mayora,"GIS, EIA (Environmental Impact Assessment), HSE Standards",Water Treatment Plant Design,GIS Fundamentals,debate_club | pumun,seorang enviromental planner lulusan environmental engineering dengan pengalaman di mayora dan sertifikasi gis fundamentals
5035,Fitri Rahman,Industrial Engineering,2016,Process Improvement Consultant,Edelman,"System Modeling, Simulation (Arena), Logistics",Workplace Ergonomics Audit,"Ergonomics Assessment Specialist, Lean Six Sigma Green Belt",pufa_engineering | pumun,seorang process improvement consultant lulusan industrial engineering dengan pengalaman di edelman dan sertifikasi ergonomics assessment specialist  lean six sigma green belt
5036,Galih Suteja,Civil Engineering,2016,Transportation Engineer,Astra International,"Construction Safety, Structural Analysis, AutoCAD Civil 3D",Foundation Stability Analysis,"LEED Green Associate, OSHA 30-Hour Construction",debate_club,profesional civil engineering dengan spesialisasi construction safety  structural analysis  autocad civil 3d dan pengalaman proyek foundation stability analysis
5037,Vina Pasaribu,Information Technology,2015,Mobile App Developer,Tokopedia,"Python, React, SQL",Personal Portfolio Website,"CompTIA A+, Google IT Support Professional",pufa_computer_science | accounting_club | debate_club,alumni jurusan information technology berkarir sebagai mobile app developer di tokopedia  ahli dalam python  react  sql
5038,Cahya Permana,Environmental Engineering,2016,EIA Consultant,Shopee,"Waste Management, Compliance, HSE Standards",Industrial Pollution Control Plan,"GIS Fundamentals, NEBOSH International Certificate",pufa_engineering | moot_court | purtc,alumni jurusan environmental engineering berkarir sebagai eia consultant di shopee  ahli dalam waste management  compliance  hse standards
5039,Joko Anggraini,Chemical Engineering,2022,Process Engineer,Tokopedia,"Process Simulation, Aspen HYSYS, Safety Management",Heat Exchanger Network,Chemical Engineering Thermodynamics,pufa_engineering,seorang process engineer lulusan chemical engineering dengan pengalaman di tokopedia dan sertifikasi chemical engineering thermodynamics
5040,Indah Anggraini,Marketing,2021,Social Media Manager,Djarum,"Content Marketing, Google Analytics, Data Visualization",Conversion Rate Optimization,Google Analytics,aiesec | accounting_club,karir di bidang social media manager dengan latar belakang pendidikan marketing dan aktif di aiesec   accounting club
5041,Vina Lestari,Law,2021,Contract Manager,Shopee,"Regulatory Analysis, Litigation, Corporate Governance",Regulatory Compliance Audit,"Legal Research & Writing Certificate, Commercial Contract Management",pufa_social_science_and_education | purtc,alumni jurusan law berkarir sebagai contract manager di shopee  ahli dalam regulatory analysis  litigation  corporate governance
5042,Agus Ramadhan,Communication,2023,Content Creator,Ruangguru,"Public Relations, Storytelling, Digital Marketing",Internal Communication Audit,"Public Relations Society of America (PRSA), Meta Certified Professional",pufa_social_science_and_education | puma_communication,profesional communication dengan spesialisasi public relations  storytelling  digital marketing dan pengalaman proyek internal communication audit
5043,Rizky Wibowo,Communication,2019,Social Media Strategist,Shopee,"Media Relations, Digital Marketing, SEO",Internal Communication Audit,SEO Fundamentals,puma_communication | debate_club | pufa_social_science_and_education,profesional communication dengan spesialisasi media relations  digital marketing  seo dan pengalaman proyek internal communication audit
5044,Mega Wibowo,Financial Engineering,2019,Quantitative Analyst,Mayora,"Python, C++, Machine Learning",Portfolio Optimization Algorithm,"FRM (Financial Risk Manager), Python for Finance",fpci | aiesec,profesional financial engineering dengan spesialisasi python  c    machine learning dan pengalaman proyek portfolio optimization algorithm
5045,Kartika Sari,Actuarial Science,2022,Insurance Underwriter,Mayora,"Data Analysis, Risk Modeling, Financial Math",Solvency Risk Assessment,"SOA Exam FM (Financial Mathematics), FMVA (Financial Modeling)",accounting_club | pudc,karir di bidang insurance underwriter dengan latar belakang pendidikan actuarial science dan aktif di accounting club   pudc
5046,Rina Saputra,Electrical Engineering,2017,IoT Developer,Schneider Electric,"PCB Design, PLC Programming, SCADA",Robotic Control System,NFPA 70E (Electrical Safety),puma_electrical_engineering | pusc,alumni jurusan electrical engineering berkarir sebagai iot developer di schneider electric  ahli dalam pcb design  plc programming  scada
5047,Citra Utama,Communication,2017,Content Creator,Traveloka,"Copywriting, Storytelling, Digital Marketing",Multimedia Production Series,"HubSpot Content Marketing, SEO Fundamentals",pufa_social_science_and_education | pudc | accounting_club,alumni jurusan communication berkarir sebagai content creator di traveloka  ahli dalam copywriting  storytelling  digital marketing
5048,Eko Permana,Civil Engineering,2016,Structural Engineer,Pertamina,"AutoCAD Civil 3D, Estimation, BIM (Revit)",Green Building Design,LEED Green Associate,pufa_engineering,profesional civil engineering dengan spesialisasi autocad civil 3d  estimation  bim  revit  dan pengalaman proyek green building design
5049,Nisa Sihombing,Information Technology,2017,Web Developer,Pertamina,"SQL, Python, Microservices",Cloud Migration Project,AWS Certified Cloud Practitioner,pufa_computer_science | fpci,profesional information technology dengan spesialisasi sql  python  microservices dan pengalaman proyek cloud migration project
5050,Eko Firdaus,Information Technology,2021,Data Scientist,Astra International,"CI/CD, Python, React",Inventory Management System,Certified ScrumMaster (CSM),puma_information_technology,alumni jurusan information technology berkarir sebagai data scientist di astra international  ahli dalam ci cd  python  react
5051,Putri Rahman,Industrial Engineering,2022,Supply Chain Analyst,Mayora,"Statistical Process Control, System Modeling, Lean Manufacturing",Supply Chain Network Design,Lean Six Sigma Green Belt,puma_industrial_engineering | purtc | pusc,alumni jurusan industrial engineering berkarir sebagai supply chain analyst di mayora  ahli dalam statistical process control  system modeling  lean manufacturing
5052,Putri Anggraini,International Relations,2017,Foreign Affairs Correspondent,Shopee,"Negotiation, Diplomacy, Public Policy",Diplomatic Protocol Handbook,"TOEFL/IELTS/Foreign Lang Cert, Public Policy Analysis",pufa_social_science_and_education | debate_club | pudc,alumni jurusan international relations berkarir sebagai foreign affairs correspondent di shopee  ahli dalam negotiation  diplomacy  public policy
5053,Cahya Ramadhan,Communication,2019,Marketing Manager,Ogilvy Indonesia,"Media Relations, Content Strategy, Video Editing",Multimedia Production Series,"SEO Fundamentals, Meta Certified Professional",puma_communication,profesional communication dengan spesialisasi media relations  content strategy  video editing dan pengalaman proyek multimedia production series
5054,Zara Utama,Industrial Engineering,2019,Production Planner,Leo Burnett,"Six Sigma, Logistics, Statistical Process Control",Value Stream Mapping,"Certified Quality Engineer (CQE), CSCP (Certified Supply Chain Professional)",pufa_engineering,alumni jurusan industrial engineering berkarir sebagai production planner di leo burnett  ahli dalam six sigma  logistics  statistical process control
5055,Citra Wibowo,Business Administration,2019,Operations Manager,Shopee,"Leadership, Process Optimization, Entrepreneurship",Startup Business Plan,CAPM,pufa_business,seorang operations manager lulusan business administration dengan pengalaman di shopee dan sertifikasi capm
5056,Kartika Wibowo,Visual Communication Design,2018,UX/UI Designer,Mayora,"User Research, Wireframing, Typography",Interactive Web Design,Typography Masterclass,debate_club,karir di bidang ux ui designer dengan latar belakang pendidikan visual communication design dan aktif di debate club
5057,Indah Sari,Marketing,2019,E-commerce Analyst,Unilever,"SEO/SEM, Google Analytics, Content Marketing",Conversion Rate Optimization,"Google Analytics, Hootsuite Social Marketing",pudc | debate_club,alumni jurusan marketing berkarir sebagai e commerce analyst di unilever  ahli dalam seo sem  google analytics  content marketing
5058,Nisa Nugroho,International Relations,2019,Diplomat,Traveloka,"Cross-Cultural Communication, Negotiation, International Law",Trade Agreement Impact Analysis,"Project Management for Development (PMD Pro), Public Policy Analysis",puma_international_relations | moot_court,karir di bidang diplomat dengan latar belakang pendidikan international relations dan aktif di puma international relations   moot court
5059,Dewi Wibowo,Mechanical Engineering,2022,Maintenance Engineer,PLN,"Finite Element Analysis, SolidWorks, Supply Chain Optimization",Quality Assurance System,SolidWorks Professional,puma_mechanical_engineering | pudc,karir di bidang maintenance engineer dengan latar belakang pendidikan mechanical engineering dan aktif di puma mechanical engineering   pudc
5060,Imam Suteja,Accounting,2019,External Auditor,OJK,"Data Analysis for Accounting, IFRS, Taxation",Budget Forecasting Model,"CPA (Certified Public Accountant), QuickBooks ProAdvisor",pufa_business,alumni jurusan accounting berkarir sebagai external auditor di ojk  ahli dalam data analysis for accounting  ifrs  taxation
5061,Joko Permana,Chemical Engineering,2015,Quality Assurance Chemist,Traveloka,"Process Simulation, Process Control, Aspen HYSYS",Catalyst Optimization Study,"Chemical Engineering Thermodynamics, HSE Certificate",fpci,alumni jurusan chemical engineering berkarir sebagai quality assurance chemist di traveloka  ahli dalam process simulation  process control  aspen hysys
5062,Vina Sari,Financial Engineering,2018,Risk Manager,Shopee,"Python, Financial Modeling, Stochastic Calculus",Portfolio Optimization Algorithm,Bloomberg Market Concepts,pufa_business,profesional financial engineering dengan spesialisasi python  financial modeling  stochastic calculus dan pengalaman proyek portfolio optimization algorithm
5063,Kartika Lestari,Industrial Engineering,2015,Process Improvement Consultant,Dentsu,"Statistical Process Control, Logistics, Lean Manufacturing",Value Stream Mapping,Lean Six Sigma Green Belt,purtc | fpci,profesional industrial engineering dengan spesialisasi statistical process control  logistics  lean manufacturing dan pengalaman proyek value stream mapping
5064,Rizky Suteja,Industrial Engineering,2017,Ergonomist,Telkomsel,"Lean Manufacturing, System Modeling, Simulation (Arena)",Supply Chain Network Design,Ergonomics Assessment Specialist,pufa_engineering | debate_club,seorang ergonomist lulusan industrial engineering dengan pengalaman di telkomsel dan sertifikasi ergonomics assessment specialist
5065,Bayu Suteja,Chemical Engineering,2020,Production Engineer,Google Indonesia,"Chemical Kinetics, Process Control, Aspen HYSYS",Catalyst Optimization Study,OSHA Process Safety Management (PSM),puma_chemical_engineering | aiesec,alumni jurusan chemical engineering berkarir sebagai production engineer di google indonesia  ahli dalam chemical kinetics  process control  aspen hysys
5066,Fitri Mahendra,Creative Media,2019,Post-Production Supervisor,Gojek Marketing,"Animation, Cinematography, Video Production",Corporate Documentary,Avid Media Composer,pudc | moot_court | pufa_social_science_and_education,alumni jurusan creative media berkarir sebagai post production supervisor di gojek marketing  ahli dalam animation  cinematography  video production
5067,Zara Sari,Primary School Teacher Education,2019,School Principal,Unilever,"Teaching Methods, Lesson Planning, Counseling",School Anti-Bullying Program,"Special Education Needs (SEN) Training, Child Protection Training",puma_primary_school_teacher_education,karir di bidang school principal dengan latar belakang pendidikan primary school teacher education dan aktif di puma primary school teacher education
5068,Rizky Pasaribu,Primary School Teacher Education,2017,Special Education Teacher,Kemendikbud,"Lesson Planning, Educational Leadership, Classroom Management",Student Assessment System,"Google Certified Educator, Educational Leadership Certificate",pufa_social_science_and_education | pumun,karir di bidang special education teacher dengan latar belakang pendidikan primary school teacher education dan aktif di pufa social science and education   pumun
5069,Hani Permana,Financial Engineering,2018,Quantitative Analyst,Mayora,"Stochastic Calculus, Data Science, C++",Cryptocurrency Market Analysis,"FMVA (Financial Modeling), Bloomberg Market Concepts",puma_financial_engineering | accounting_club | pumun,profesional financial engineering dengan spesialisasi stochastic calculus  data science  c   dan pengalaman proyek cryptocurrency market analysis
5070,Joko Nugroho,Accounting,2019,External Auditor,BCA,"Cost Accounting, Financial Reporting, Data Analysis for Accounting",Internal Control Review,CPA (Certified Public Accountant),puma_accounting | purtc,seorang external auditor lulusan accounting dengan pengalaman di bca dan sertifikasi cpa  certified public accountant
5071,Galih Permana,Creative Media,2016,Sound Engineer,Astra International,"Animation, Adobe Premiere Pro, Scriptwriting",Web Series Pilot,Avid Media Composer,puma_creative_media | accounting_club,profesional creative media dengan spesialisasi animation  adobe premiere pro  scriptwriting dan pengalaman proyek web series pilot
5072,Rizky Rahman,Primary School Teacher Education,2022,Special Education Teacher,HighScope Indonesia,"Teaching Methods, Lesson Planning, Counseling",Curriculum Development for Special Needs,"Special Education Needs (SEN) Training, Educational Leadership Certificate",purtc | pufa_social_science_and_education | fpci,profesional primary school teacher education dengan spesialisasi teaching methods  lesson planning  counseling dan pengalaman proyek curriculum development for special needs
5073,Cahya Anggraini,Environmental Engineering,2017,EIA Consultant,Mayora,"EIA (Environmental Impact Assessment), Compliance, Water Treatment",Carbon Footprint Analysis,GIS Fundamentals,accounting_club | pusc | debate_club,profesional environmental engineering dengan spesialisasi eia  environmental impact assessment   compliance  water treatment dan pengalaman proyek carbon footprint analysis
5074,Joko Pasaribu,Communication,2015,PR Specialist,Gojek Marketing,"Content Strategy, Media Relations, Copywriting",Internal Communication Audit,Public Relations Society of America (PRSA),purtc | pufa_social_science_and_education | fpci,alumni jurusan communication berkarir sebagai pr specialist di gojek marketing  ahli dalam content strategy  media relations  copywriting
5075,Cahya Sihombing,Management,2020,Talent Acquisition Specialist,Robert Walters,"Strategic Planning, Performance Management, Payroll Administration",HR Policy Review,"LinkedIn Recruiter Certification, SHRM-CP (Certified Professional)",pufa_business | pumun | accounting_club,seorang talent acquisition specialist lulusan management dengan pengalaman di robert walters dan sertifikasi linkedin recruiter certification  shrm cp  certified professional
5076,Bayu Sari,Electrical Engineering,2023,R&D Electronics,Telkomsel,"Circuit Design, PLC Programming, PCB Design",IoT Sensor Network,Certified Automation Professional (CAP),puma_electrical_engineering | accounting_club | pufa_engineering,seorang r d electronics lulusan electrical engineering dengan pengalaman di telkomsel dan sertifikasi certified automation professional  cap
5077,Nisa Sihombing,Law,2019,Intellectual Property Specialist,Leo Burnett,"Dispute Resolution, Moot Court, Legal Research",Anti-Corruption Policy Framework,"Certified Paralegal (CP), Certified Information Privacy Professional (CIPP)",moot_court | debate_club,alumni jurusan law berkarir sebagai intellectual property specialist di leo burnett  ahli dalam dispute resolution  moot court  legal research
5078,Agus Utama,Civil Engineering,2021,Transportation Engineer,PLN,"Project Management, Estimation, Structural Analysis",Construction Budgeting,LEED Green Associate,pufa_engineering,alumni jurusan civil engineering berkarir sebagai transportation engineer di pln  ahli dalam project management  estimation  structural analysis
5079,Hani Sihombing,Mechanical Engineering,2017,Mechanical Systems Designer,Shopee,"SolidWorks, Hydraulics, Finite Element Analysis",HVAC System Design,"OSHA 30-Hour Training, FEA Software Proficiency",pufa_engineering | pudc,alumni jurusan mechanical engineering berkarir sebagai mechanical systems designer di shopee  ahli dalam solidworks  hydraulics  finite element analysis
5080,Budi Wibowo,Information Technology,2021,Web Developer,Google Indonesia,"CI/CD, Microservices, AWS",Personal Portfolio Website,"Microsoft Certified: Azure Fundamentals, Certified ScrumMaster (CSM)",pufa_computer_science,profesional information technology dengan spesialisasi ci cd  microservices  aws dan pengalaman proyek personal portfolio website
5081,Zara Utama,Primary School Teacher Education,2018,Education Administrator,Zenius,"Pedagogy, Lesson Planning, Educational Leadership",Curriculum Development for Special Needs,Special Education Needs (SEN) Training,pufa_social_science_and_education | debate_club,profesional primary school teacher education dengan spesialisasi pedagogy  lesson planning  educational leadership dan pengalaman proyek curriculum development for special needs
5082,Imam Suteja,Financial Engineering,2022,Data Analyst (Finance),Bank Mandiri,"C++, Data Science, Stochastic Calculus",Credit Risk Simulation,FMVA (Financial Modeling),pufa_business | purtc | fpci,alumni jurusan financial engineering berkarir sebagai data analyst  finance  di bank mandiri  ahli dalam c    data science  stochastic calculus
5083,Eko Manullang,Electrical Engineering,2015,IoT Developer,Google Indonesia,"PCB Design, Power Generation, Circuit Design",IoT Sensor Network,PLC Programming Fundamentals,puma_electrical_engineering | pudc,alumni jurusan electrical engineering berkarir sebagai iot developer di google indonesia  ahli dalam pcb design  power generation  circuit design
5084,Joko Sihombing,Chemical Engineering,2017,Quality Assurance Chemist,Traveloka,"Safety Management, Chemical Kinetics, Aspen HYSYS",Biofuel Production Process,"Six Sigma Green Belt, HSE Certificate",puma_chemical_engineering | pusc | purtc,seorang quality assurance chemist lulusan chemical engineering dengan pengalaman di traveloka dan sertifikasi six sigma green belt  hse certificate
5085,Putri Sari,Business Administration,2017,Financial Planner,Traveloka,"Entrepreneurship, Leadership, Process Optimization",Market Feasibility Study,CAPM,accounting_club | debate_club,profesional business administration dengan spesialisasi entrepreneurship  leadership  process optimization dan pengalaman proyek market feasibility study
5086,Indah Gunawan,Business Administration,2019,Sales Director,Mayora,"Market Analysis, Business Strategy, CRM",Market Feasibility Study,HubSpot Inbound Marketing,fpci | puma_business_administration | pusc,profesional business administration dengan spesialisasi market analysis  business strategy  crm dan pengalaman proyek market feasibility study
5087,Rina Manullang,Information Technology,2022,Mobile App Developer,Google Indonesia,"Microservices, CI/CD, React",Automated Testing Suite,AWS Certified Cloud Practitioner,puma_information_technology,profesional information technology dengan spesialisasi microservices  ci cd  react dan pengalaman proyek automated testing suite
5088,Siti Mahendra,Business Administration,2022,Startup Manager,Unilever,"Process Optimization, Leadership, Market Analysis",Competitor Analysis Report,CAPM,pufa_business | accounting_club | pumun,karir di bidang startup manager dengan latar belakang pendidikan business administration dan aktif di pufa business   accounting club   pumun
5089,Galih Mahendra,Actuarial Science,2022,Pricing Specialist,Unilever,"Financial Math, Probability Theory, Statistics",Life Insurance Pricing Model,"FMVA (Financial Modeling), SOA Exam FM (Financial Mathematics)",puma_actuarial_science | fpci,profesional actuarial science dengan spesialisasi financial math  probability theory  statistics dan pengalaman proyek life insurance pricing model
